geo,id,mask,millis,BLUE,COASTAL,GREEN,NDVI,NIR,RED,SWIR1,SWIR2,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,1_T44RRN_20220102T045211,0.0,1641099131000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220102T045211,116,2022-01-02 04:52:11,2022-01-02
,1_T45RTH_20220102T045211,0.0,1641099131000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220102T045211,116,2022-01-02 04:52:11,2022-01-02
,2_T44RRN_20220103T044925,0.0,1641185365000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220103T044925,116,2022-01-03 04:49:25,2022-01-03
,2_T45RTH_20220103T044925,0.0,1641185365000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220103T044925,116,2022-01-03 04:49:25,2022-01-03
,1_T44RRN_20220105T050211,0.39285714285714285,1641358931000,0.030513333333333333,0.02507454545454545,0.05403636363636364,0.47860430407660914,0.16242121212121213,0.05727757575757576,0.1622672727272728,0.10943272727272726,4,2,2,1217.3765749463848,538.3197078929228,679.056867053462,20220105T050211,116,2022-01-05 05:02:11,2022-01-05
,1_T45RTH_20220105T050211,0.0,1641358931000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220105T050211,116,2022-01-05 05:02:11,2022-01-05
,1_T44RRN_20220107T045159,1.0,1641531119000,0.03455214285714285,0.027513333333333334,0.06098309523809523,0.45848972711595115,0.1690552380952381,0.06278571428571428,0.17460857142857145,0.11829928571428572,4,0,4,1217.3765749463848,0.0,1217.3765749463848,20220107T045159,116,2022-01-07 04:51:59,2022-01-07
,1_T45RTH_20220107T045159,1.0,1641531119000,0.03445309523809524,0.02760928571428571,0.06092999999999999,0.4552189551268416,0.1690157142857143,0.06332119047619048,0.17312023809523808,0.11743119047619047,4,0,4,1217.31060144761,0.0,1217.31060144761,20220107T045159,116,2022-01-07 04:51:59,2022-01-07
,1_T44RRN_20220110T050159,0.0,1641790919000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220110T050159,116,2022-01-10 05:01:59,2022-01-10
,1_T45RTH_20220110T050159,0.0,1641790919000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220110T050159,116,2022-01-10 05:01:59,2022-01-10
,2_T44RRN_20220111T044858,0.0,1641876538000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220111T044858,116,2022-01-11 04:48:58,2022-01-11
,2_T45RTH_20220111T044858,0.0,1641876538000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220111T044858,116,2022-01-11 04:48:58,2022-01-11
,1_T44RRN_20220112T045141,0.0,1641963101000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220112T045141,116,2022-01-12 04:51:41,2022-01-12
,1_T45RTH_20220112T045141,0.0,1641963101000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220112T045141,116,2022-01-12 04:51:41,2022-01-12
,1_T44RRN_20220115T050141,1.0,1642222901000,0.02336666666666666,0.026392142857142854,0.04577309523809523,0.619533731646737,0.1758504761904762,0.041322380952380944,0.14749261904761904,0.08848928571428571,4,0,4,1217.3765749463848,0.0,1217.3765749463848,20220115T050141,116,2022-01-15 05:01:41,2022-01-15
,1_T45RTH_20220115T050141,1.0,1642222901000,0.025702619047619044,0.027114047619047614,0.045406190476190475,0.6166512153172355,0.16967333333333331,0.04021809523809523,0.140565,0.08409976190476189,4,0,4,1217.31060144761,0.0,1217.31060144761,20220115T050141,116,2022-01-15 05:01:41,2022-01-15
,1_T44RRN_20220117T045139,0.0,1642395099000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220117T045139,116,2022-01-17 04:51:39,2022-01-17
,1_T45RTH_20220117T045139,0.0,1642395099000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220117T045139,116,2022-01-17 04:51:39,2022-01-17
,2_T44RRN_20220119T044924,0.0,1642567764000,,,,,,,,,4,4,0,1217.3765749463848,1217.3765749463848,0.0,20220119T044924,116,2022-01-19 04:49:24,2022-01-19
,2_T45RTH_20220119T044924,0.0,1642567764000,,,,,,,,,4,4,0,1217.31060144761,1217.31060144761,0.0,20220119T044924,116,2022-01-19 04:49:24,2022-01-19
