geo,id,mask,millis,NDVI,nir,red,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,2022_01_01,0.0,1640995200000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,01,116,2022-01-01,2022-01-01
,2022_01_02,0.0,1641081600000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,02,116,2022-01-02,2022-01-02
,2022_01_03,0.0,1641168000000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,03,116,2022-01-03,2022-01-03
,2022_01_04,1.0,1641254400000,0.42459073493556254,2045.0,826.0,1,0,1,1053.1213235294117,0.0,1053.1213235294117,04,116,2022-01-04,2022-01-04
,2022_01_05,0.0,1641340800000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,05,116,2022-01-05,2022-01-05
,2022_01_06,0.0,1641427200000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,06,116,2022-01-06,2022-01-06
,2022_01_07,0.0,1641513600000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,07,116,2022-01-07,2022-01-07
,2022_01_08,1.0,1641600000000,0.4169711733658141,1745.0,718.0,1,0,1,1053.1213235294117,0.0,1053.1213235294117,08,116,2022-01-08,2022-01-08
,2022_01_09,0.0,1641686400000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,09,116,2022-01-09,2022-01-09
,2022_01_10,0.0,1641772800000,,,,1,1,0,1053.1213235294117,1053.1213235294117,0.0,10,116,2022-01-10,2022-01-10
,2022_01_11,0.0,1641859200000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,11,116,2022-01-11,2022-01-11
,2022_01_12,0.0,1641945600000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,12,116,2022-01-12,2022-01-12
,2022_01_13,0.0,1642032000000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,13,116,2022-01-13,2022-01-13
,2022_01_14,0.0,1642118400000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,14,116,2022-01-14,2022-01-14
,2022_01_15,1.0,1642204800000,0.6027397260273972,1989.0,493.0,1,0,1,1263.7454963235293,0.0,1263.7454963235293,15,116,2022-01-15,2022-01-15
,2022_01_16,1.0,1642291200000,0.4884841992501339,2779.0,955.0,1,0,1,1263.7454963235293,0.0,1263.7454963235293,16,116,2022-01-16,2022-01-16
,2022_01_17,0.0,1642377600000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,17,116,2022-01-17,2022-01-17
,2022_01_18,0.0,1642464000000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,18,116,2022-01-18,2022-01-18
,2022_01_19,0.0,1642550400000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,19,116,2022-01-19,2022-01-19
,2022_01_20,1.0,1642636800000,,2484.0,-100.0,1,0,1,1263.7454963235293,0.0,1263.7454963235293,20,116,2022-01-20,2022-01-20
,2022_01_21,0.0,1642723200000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,21,116,2022-01-21,2022-01-21
,2022_01_22,0.0,1642809600000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,22,116,2022-01-22,2022-01-22
,2022_01_23,0.0,1642896000000,,,,1,1,0,1263.7454963235293,1263.7454963235293,0.0,23,116,2022-01-23,2022-01-23
