geo,id,mask,millis,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,20220102T045211_20220102T045212_T44RRN,0.0,1641099716823,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-02 05:01:56.823,2022-01-02
,20220105T050211_20220105T050210_T44RRN,1.0,1641359512508,200.0,1156.9105109875563,1682.6227164416205,1174.5867090283293,1075.257082340482,1154.5724119671697,1024.035742652899,1293.6881122584061,1633.7672756155678,1712.1940693672227,1739.153825787662,1740.373312152502,1658.9404289118343,8.69737887212073,0.0,0.25879254567487175,0.0,0.0,0.0,7.0,109.67725708234046,117.75853852263704,104.51548848292296,1276.0,,,,20,0,20,1217.3765262977754,0.0,1217.3765262977754,T44RRN,116,2022-01-05 05:11:52.508,2022-01-05
,20220107T045159_20220107T045836_T44RRN,1.0,1641531711177,112.0,826.063277733651,1870.989409584326,1386.049245432883,879.7018797987821,991.1702409319565,889.2798517341805,1192.8032830288587,1581.2904421498542,1759.1771247021447,1741.4371194069367,1810.3947577442416,1616.2740270055597,1.927455652634366,0.0,0.32389104066924734,0.0,0.0,0.0,7.0,89.86576648133439,101.2772041302621,90.91342335186658,2158.0,,,,20,0,20,1217.3765262977754,0.0,1217.3765262977754,T44RRN,116,2022-01-07 05:01:51.177,2022-01-07
,20220110T050159_20220110T050627_T44RRN,0.0,1641791506886,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-10 05:11:46.886,2022-01-10
,20220112T045141_20220112T045140_T44RRN,0.0,1641963716242,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-12 05:01:56.242,2022-01-12
,20220115T050141_20220115T050143_T44RRN,0.09584326184802754,1642223511684,200.0,1739.0,1500.0,966.0,1596.6408839779003,1552.4530386740332,1292.7790055248618,1523.0,1908.0,1987.0,1970.1767955801106,2002.0,1881.0,20.0,0.0,0.20762048663272828,0.0,0.0,0.0,7.0,162.88674033149172,158.40883977900552,131.47790055248618,1854.0,,,,20,18,2,1217.3765262977754,1098.140837994744,119.23568830303117,T44RRN,116,2022-01-15 05:11:51.684,2022-01-15
,20220117T045139_20220117T045138_T44RRN,0.0,1642395710682,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-17 05:01:50.682,2022-01-17
,20220120T050119_20220120T050900_T44RRN,1.0,1642655506078,200.0,941.6587238549115,1389.1170240931954,766.0640720148266,1032.8760921366163,1157.9205718824464,909.4805401111993,1319.1612390786338,2164.4805401111994,2346.382578766216,2350.963727826317,2356.6942017474194,2298.9446650781038,6.301032565528197,0.0,0.44203192159833143,0.0,0.0,0.0,7.0,105.39237490071486,118.15038390256817,92.99920571882446,1441.0,,,,20,0,20,1217.3765262977754,0.0,1217.3765262977754,T44RRN,116,2022-01-20 05:11:46.078,2022-01-20
,20220122T045111_20220122T045112_T44RRN,1.0,1642827715105,200.0,1088.9163357161767,1471.9708763568974,801.9602859412231,1022.9841143764891,1147.9629335451416,867.0095313741064,1288.3269790839288,2190.695525549377,2350.4124966904956,2351.093460418322,2417.81069631983,2175.0696319830554,3.2475509663754307,0.0,0.4610416192490456,0.0,0.0,0.0,7.0,104.46836113317448,117.15223722531107,88.59491660047655,1644.0,,,,20,0,20,1217.3765262977754,0.0,1217.3765262977754,T44RRN,116,2022-01-22 05:01:55.105,2022-01-22
,20220125T050101_20220125T050103_T44RRN,0.0,1643087510983,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-25 05:11:50.983,2022-01-25
,20220127T045039_20220127T045657_T44RRN,0.0,1643259708996,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,1217.3765262977754,1217.3765262977754,0.0,T44RRN,116,2022-01-27 05:01:48.996,2022-01-27
