fkey,sos_detected_date,predicted_sowing_date,sos_detected_dop,predicted_sowing_dop,sow_date_survey,sow_dop_survey,Di_estimated_observed,approach,sensor,smooth
10,2022-11-09,2022-10-30,312,302,2022-11-05,308,-6 days,minimum,HLS,sg
10,2022-11-13,2022-11-03,316,306,2022-11-05,308,-2 days,minimum,HLS,spline
47,2022-12-08,2022-11-28,341,331,2022-12-06,339,-8 days,minimum,HLS,sg
47,2022-12-10,2022-11-30,343,333,2022-12-06,339,-6 days,minimum,HLS,spline
49,2022-11-22,2022-11-12,325,315,2022-11-12,315,0 days,minimum,HLS,sg
49,2022-11-28,2022-11-18,331,321,2022-11-12,315,6 days,minimum,HLS,spline
69,2022-12-27,2022-12-17,360,350,2022-12-20,353,-3 days,minimum,HLS,sg
69,2022-12-13,2022-12-03,346,336,2022-12-20,353,-17 days,minimum,HLS,spline
77,2022-10-28,2022-10-18,300,290,2022-12-06,339,-49 days,minimum,HLS,sg
77,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
96,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,sg
96,2022-12-17,2022-12-07,350,340,2022-12-14,347,-7 days,minimum,HLS,spline
97,2022-12-19,2022-12-09,352,342,2022-12-18,351,-9 days,minimum,HLS,sg
97,2022-12-11,2022-12-01,344,334,2022-12-18,351,-17 days,minimum,HLS,spline
105,2022-12-22,2022-12-12,355,345,2022-12-18,351,-6 days,minimum,HLS,sg
105,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,spline
116,2022-12-11,2022-12-01,344,334,2022-12-07,340,-6 days,minimum,HLS,sg
116,2022-11-27,2022-11-17,330,320,2022-12-07,340,-20 days,minimum,HLS,spline
125,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
125,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,spline
128,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
128,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,HLS,spline
130,2022-12-09,2022-11-29,342,332,2022-11-20,323,9 days,minimum,HLS,sg
130,2022-12-05,2022-11-25,338,328,2022-11-20,323,5 days,minimum,HLS,spline
131,2022-12-10,2022-11-30,343,333,2022-12-04,337,-4 days,minimum,HLS,sg
131,2022-12-12,2022-12-02,345,335,2022-12-04,337,-2 days,minimum,HLS,spline
139,2022-12-16,2022-12-06,349,339,2022-12-23,356,-17 days,minimum,HLS,sg
139,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,spline
165,2022-12-08,2022-11-28,341,331,2022-11-12,315,16 days,minimum,HLS,sg
165,2022-12-06,2022-11-26,339,329,2022-11-12,315,14 days,minimum,HLS,spline
217,2022-12-28,2022-12-18,361,351,2022-12-20,353,-2 days,minimum,HLS,sg
217,2022-10-02,2022-09-22,274,264,2022-12-20,353,-89 days,minimum,HLS,spline
225,2022-10-24,2022-10-14,296,286,2022-12-06,339,-53 days,minimum,HLS,sg
225,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
238,2022-10-02,2022-09-22,274,264,2022-12-17,350,-86 days,minimum,HLS,sg
244,2022-12-20,2022-12-10,353,343,2022-12-14,347,-4 days,minimum,HLS,sg
244,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,spline
245,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,HLS,sg
245,2022-12-09,2022-11-29,342,332,2022-12-18,351,-19 days,minimum,HLS,spline
253,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,sg
273,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
273,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,HLS,spline
276,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
276,2022-12-11,2022-12-01,344,334,2022-11-29,332,2 days,minimum,HLS,spline
278,2022-12-08,2022-11-28,341,331,2022-11-20,323,8 days,minimum,HLS,sg
278,2022-12-07,2022-11-27,340,330,2022-11-20,323,7 days,minimum,HLS,spline
279,2022-12-10,2022-11-30,343,333,2022-12-04,337,-4 days,minimum,HLS,sg
279,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,spline
287,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,sg
287,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,spline
365,2022-12-27,2022-12-17,360,350,2022-12-20,353,-3 days,minimum,HLS,sg
373,2022-10-23,2022-10-13,295,285,2022-12-06,339,-54 days,minimum,HLS,sg
373,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
386,2022-10-02,2022-09-22,274,264,2022-12-17,350,-86 days,minimum,HLS,sg
392,2022-12-20,2022-12-10,353,343,2022-12-14,347,-4 days,minimum,HLS,sg
392,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,spline
393,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,HLS,sg
393,2022-12-19,2022-12-09,352,342,2022-12-18,351,-9 days,minimum,HLS,spline
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,sg
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,spline
421,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
421,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,HLS,spline
424,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
424,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,HLS,spline
426,2022-12-09,2022-11-29,342,332,2022-11-20,323,9 days,minimum,HLS,sg
426,2022-12-08,2022-11-28,341,331,2022-11-20,323,8 days,minimum,HLS,spline
427,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,sg
427,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,spline
435,2022-12-20,2022-12-10,353,343,2022-12-23,356,-13 days,minimum,HLS,sg
435,2022-12-21,2022-12-11,354,344,2022-12-23,356,-12 days,minimum,HLS,spline
